c_alfabeta,principio_activo,marca_comercial,presentacion,laboratorio,potencia,potencia_medida,unidades_presentacion,pactivo_concentracion,periodo,copago
19,"valproico,ác.",DEPAKENE,cáps.x 50,Abbott EPD,"250,0",mg,50,"valproico,ác._250,0_mg_50",202504,3374.37
21,"valproico,ác.",DEPAKENE,jbe.x 120 ml,Abbott EPD,"6000,0",mg,1,"valproico,ác._6000,0_mg_1",202504,1871.39
31,"hierro,sulfato+asoc.",IBEROL,Gradumet 500 mg comp.x40,Fortbenton,,No Clasificada,40,"hierro,sulfato+asoc._No Clasificada_40",202504,1724.8
34,"hierro,sulfato",IBEROL,gts.x 45 ml,Fortbenton,"5625,0",mg,1,"hierro,sulfato_5625,0_mg_1",202504,762.43
138,tropicamida,ALCON MYDRIL,1% sol.oft.x 5 ml,Alcon,"50,0",mg,1,"tropicamida_50,0_mg_1",202504,5168.89
140,proparacaína,ANESTALCON,fco.x 15 ml,Alcon,"75,0",mg,1,"proparacaína_75,0_mg_1",202504,4826.91
158,ciproheptadina+vit.+asoc.,CIPROVIT MAGNESICO,gran.sob.x 20,Beta,"52,0",mg,20,"ciproheptadina+vit.+asoc._52,0_mg_20",202504,18999.65
163,"atropina,sulfato",ALCON ATROPINA 1%,1% sol.oft.x 5 ml,Alcon,"50,0",mg,1,"atropina,sulfato_50,0_mg_1",202504,5103.57
165,pilocarpina,ISOPTO CARPINA,2% sol.oft.x 15 ml,Novartis,"300,0",mg,1,"pilocarpina_300,0_mg_1",202504,1424.66
173,dexametasona+neomicina,DECADRON CON NEOMICINA,0.1% fco.got.x 5 ml,Sidus,"22,5",mg,1,"dexametasona+neomicina_22,5_mg_1",202504,4821.79
174,nafazolina+feniramina,MIRUS,sol.oft.x 15 ml,Alcon,"48,8",mg,1,"nafazolina+feniramina_48,8_mg_1",202504,4507.64
241,fluorometolona,F M L LIQUIFILM,susp.oft.x 10 ml,Abbvie Allergan,,No Clasificada,1,fluorometolona_No Clasificada_1,202504,5721.23
242,fluorometolona+asoc.,F M L NEO LIQUIFILM,susp.oft.x 5 ml,Abbvie Allergan,,No Clasificada,1,fluorometolona+asoc._No Clasificada_1,202504,1099.6
245,prednisolona+fenilefrina,PREDNEFRIN FORTE,susp.oft.x 10 ml,Abbvie Allergan,"112,0",mg,1,"prednisolona+fenilefrina_112,0_mg_1",202504,5238.75
246,prednisolona+fenilefrina,PREDNEFRIN 0.12%,susp.oft.x 10 ml,Abbvie Allergan,"24,0",mg,1,"prednisolona+fenilefrina_24,0_mg_1",202504,471.87
255,enalapril,ENALDUN,10 mg comp.x 30,Duncan,"10,0",mg,30,"enalapril_10,0_mg_30",202504,1247.45
283,oxibutinina,DITROPAN,jbe.x 200 ml,Elea,"200,0",mg,1,"oxibutinina_200,0_mg_1",202504,11499.87
299,betametasona+gentamic.+miconazol,MACRIL,cr.x 20 g,Andr¿maco,"440,0",mg,1,"betametasona+gentamic.+miconazol_440,0_mg_1",202504,6108.6
302,mebendazol+tinidazol,MEBUTAR COMPUESTO,comp.rec.x 6,Andr¿maco,"400,0",mg,6,"mebendazol+tinidazol_400,0_mg_6",202504,4514.07
304,naproxeno,NAPRUX,250 mg comp.x 20,Andr¿maco,"250,0",mg,20,"naproxeno_250,0_mg_20",202504,7531.69
325,"hierro,sulfato+asoc.",FERRO FOLIC,comp.x 60,Fortbenton,,No Clasificada,60,"hierro,sulfato+asoc._No Clasificada_60",202504,1660.47
427,cefadroxilo,CEFACAR,500 mg comp.x 8,Siegfried,"500,0",mg,8,"cefadroxilo_500,0_mg_8",202504,3256.42
428,cefadroxilo,CEFACAR,500 mg comp.x 16,Siegfried,"500,0",mg,16,"cefadroxilo_500,0_mg_16",202504,6268.6
429,cefadroxilo,CEFACAR,1000 mg comp.x 8,Siegfried,"1000,0",mg,8,"cefadroxilo_1000,0_mg_8",202504,5633.94
435,cefalexina,CEFALEXINA ARGENTIA,500 mg comp.x 16,Siegfried,"500,0",mg,16,"cefalexina_500,0_mg_16",202504,3697.62
437,cefalexina,CEFALEXINA ARGENTIA DUO,1 g comp. x 16,Siegfried,"1000,0",mg,16,"cefalexina_1000,0_mg_16",202504,7019.86
457,enalapril,ENALDUN,20 mg comp.x 30,Duncan,"20,0",mg,30,"enalapril_20,0_mg_30",202504,1577.64
478,levodopa+benserazida,MADOPAR HBS,125 mg cáps.x 50,Siegfried,"125,0",mg,50,"levodopa+benserazida_125,0_mg_50",202504,2451.14
486,amoxicilina,GRINSIL,500 mg comp.x 16,Siegfried,"500,0",mg,16,"amoxicilina_500,0_mg_16",202504,2060.18
530,fenilefrina+asoc.,ALZATEN,gts.x 20 ml,Ariston,"100,0",mg,1,"fenilefrina+asoc._100,0_mg_1",202504,4714.0
542,furosemida+amilorida,ERROLON A,comp.x 20,Siegfried,"45,0",mg,20,"furosemida+amilorida_45,0_mg_20",202504,3368.73
544,"litio,carbonato",CEGLUTION 300,tab.x 50,Ariston,"300,0",mg,50,"litio,carbonato_300,0_mg_50",202504,7485.63
563,lisinopril,TENSOPRIL,5 mg comp.x 40,Teva Argentina,"5,0",mg,40,"lisinopril_5,0_mg_40",202504,4819.02
564,lisinopril,TENSOPRIL,10 mg comp.x 40,Teva Argentina,"10,0",mg,40,"lisinopril_10,0_mg_40",202504,8835.11
565,lisinopril,TENSOPRIL,20 mg comp.x 40,Teva Argentina,"20,0",mg,40,"lisinopril_20,0_mg_40",202504,10347.17
585,estradiol+medroxiprogesterona,FARLUDIOL,comp.x 30,Pfizer,"7,0",mg,30,"estradiol+medroxiprogesterona_7,0_mg_30",202504,269.85
588,escina+asoc.,VENOSTASIN,gel x 50 g,Ariston,,No Clasificada,1,escina+asoc._No Clasificada_1,202504,7548.74
594,naproxeno,ALIDASE 500,comp.x 10,Laboratorios Be,"500,0",mg,10,"naproxeno_500,0_mg_10",202504,7182.6
603,naproxeno,ALIDASE 500,comp.x 40,Laboratorios Be,"500,0",mg,40,"naproxeno_500,0_mg_40",202504,24706.9
608,nadroparina cálcica,FRAXIPARINE,jga.prell.x 10 - 0.3 ml,Aspen Argentina,,No Clasificada,10,nadroparina cálcica_No Clasificada_10,202504,4292.65
618,cefalexina,CEPOREXIN,500 mg comp.x 8,Roemmers,"500,0",mg,8,"cefalexina_500,0_mg_8",202504,2242.96
619,cefalexina,CEPOREXIN,500 mg comp.x 16,Roemmers,"500,0",mg,16,"cefalexina_500,0_mg_16",202504,3883.46
621,ginkgo biloba,CLARVIX,comp.rec.x 50,Savant Generic,"80,0",mg,50,"ginkgo biloba_80,0_mg_50",202504,3534.89
629,carbamazepina,TEGRETOL 400 LC,400 mg comp.x 60,Novartis,"400,0",mg,60,"carbamazepina_400,0_mg_60",202504,12610.55
636,naproxeno,NAPRUX,500 mg comp.x 20,Andr¿maco,"500,0",mg,20,"naproxeno_500,0_mg_20",202504,15211.06
652,"hierro,succinato",FERDROMACO,comp.rec.x 30,Eurofarma,"37,0",mg,30,"hierro,succinato_37,0_mg_30",202504,592.34
668,lorazepam,EMOTIVAL,1 mg comp.x 100,Teva Argentina,"1,0",mg,100,"lorazepam_1,0_mg_100",202504,3856.05
671,lorazepam,EMOTIVAL,2 mg comp.x 100,Teva Argentina,"2,0",mg,100,"lorazepam_2,0_mg_100",202504,5506.49
682,selegilina,JUMEX,comp.x 20,Teva Argentina,"5,0",mg,20,"selegilina_5,0_mg_20",202504,1334.2
708,ergotamina+cafeína+asoc.,TETRALGIN,comp.x 50,Siegfried,"509,5",mg,50,"ergotamina+cafeína+asoc._509,5_mg_50",202504,9986.32
762,aminoácidos+vit.b12,POLPER B12 FORTE,comp.x 30,Casasco,"711,0",mg,30,"aminoácidos+vit.b12_711,0_mg_30",202504,36232.02
786,hierro,YECTAFER,a.x 10,Rontag,"100,0",mg,10,"hierro_100,0_mg_10",202504,35422.11
787,"hierro+fólico,ác.+asoc.",YECTAFER COMPLEX,a.x 10,Rontag,"1011,0",mg,10,"hierro+fólico,ác.+asoc._1011,0_mg_10",202504,53242.11
